step,modality,source,obs_norm,confidence,free_energy,prediction_error,cycle_count
132,text,wiki:History_4,0.266223,0.918148,0.000337,0.361262,144
133,text,wiki:Geography_4,0.222755,0.917992,0.000267,0.308141,145
134,text,wiki:Geography_4,0.271357,0.918010,0.000348,0.370048,146
135,text,wiki:Geography_4,0.343732,0.918040,0.001058,0.438347,147
136,code,/tmp/omni_code_5rm7dhr_/import_heavy_01.py,10.462790,0.766682,1.500082,10.427570,148
137,text,wiki:Biology_1,0.237129,0.918012,0.010058,0.812827,149
138,physics,physics:step_34,0.061862,0.918298,0.007420,0.703925,150
139,text,wiki:Biology_1,0.272184,0.918061,0.005485,0.686762,151
140,text,wiki:Biology_1,0.257909,0.918136,0.004093,0.630508,152
141,text,wiki:Computer Science_1,0.246705,0.918149,0.003193,0.585117,153
142,audio,/tmp/omni_aud_9vbpth3p/click_00_220hz.wav,0.169014,0.917982,0.003295,0.537055,154
143,text,wiki:Computer Science_1,0.267755,0.918021,0.002081,0.530746,155
144,text,wiki:Computer Science_1,0.717103,0.917655,0.009119,0.773348,156
145,text,wiki:Computer Science_2,0.238689,0.917955,0.001360,0.460985,157
146,text,wiki:Computer Science_2,0.273169,0.918179,0.001279,0.481071,158
147,text,wiki:Computer Science_2,0.260393,0.918166,0.001020,0.455112,159
148,text,wiki:Biology_1,0.237129,0.918126,0.000853,0.418989,160
149,text,wiki:Biology_1,0.272184,0.918100,0.000839,0.450913,161
150,image,/tmp/omni_img_ahr7_nej/square_01.png,0.055965,0.918313,0.000726,0.344116,162
151,image,/tmp/omni_img_ahr7_nej/square_02.png,0.056660,0.918349,0.000600,0.328535,163
152,text,wiki:Biology_1,0.257909,0.918097,0.000602,0.408746,164
153,text,wiki:Computer Science_2,0.238689,0.918161,0.000529,0.376113,165
154,text,wiki:Computer Science_2,0.273169,0.918074,0.000604,0.415455,166
155,physics,physics:step_35,0.059527,0.918332,0.000500,0.297081,167
156,text,wiki:Computer Science_2,0.260393,0.918115,0.000507,0.384082,168
157,physics,physics:step_36,0.060971,0.918216,0.000426,0.284362,169
158,physics,physics:step_37,0.069601,0.918323,0.000368,0.273489,170
159,physics,physics:step_38,0.067356,0.918229,0.000314,0.265153,171
160,text,wiki:Geography_1,0.236690,0.917973,0.000467,0.336687,172
161,audio,/tmp/omni_aud_9vbpth3p/click_01_440hz.wav,0.169014,0.918147,0.000754,0.293936,173
162,text,wiki:Geography_1,0.273008,0.918005,0.000559,0.376485,174
163,text,wiki:Geography_1,0.254855,0.918000,0.000386,0.355663,175
164,text,wiki:Computer Science_0,0.254955,0.917904,0.000426,0.350633,176
165,text,wiki:Computer Science_0,0.259894,0.918166,0.000383,0.363325,177
166,image,/tmp/omni_img_ahr7_nej/triangle_00.png,0.056779,0.918295,0.000318,0.251496,178
167,image,/tmp/omni_img_ahr7_nej/triangle_01.png,0.056326,0.918173,0.000262,0.242552,179
168,text,wiki:Physics_2,0.242079,0.917873,0.000365,0.331458,180
169,code,/tmp/omni_code_5rm7dhr_/loop_algo_00.py,2.772118,0.906078,0.107377,2.844738,181
170,text,wiki:Physics_2,0.272555,0.917909,0.001481,0.384992,182
171,text,wiki:Physics_2,0.256701,0.918052,0.001139,0.349291,183
172,text,wiki:History_3,0.237630,0.918137,0.000761,0.334414,184
173,audio,/tmp/omni_aud_9vbpth3p/noise_00_220hz.wav,0.164001,0.918300,0.000678,0.295492,185
174,text,wiki:History_3,0.266213,0.918055,0.000702,0.354733,186
175,text,wiki:History_0,0.242720,0.916096,0.000509,0.324613,187
176,text,wiki:History_0,0.271342,0.918040,0.000549,0.361545,188
177,code,/tmp/omni_code_5rm7dhr_/loop_algo_01.py,2.772597,0.906140,0.103310,2.856333,189
178,image,/tmp/omni_img_ahr7_nej/triangle_02.png,0.056581,0.918160,0.001042,0.327225,190
179,physics,physics:step_39,0.071517,0.918234,0.000866,0.294942,191
180,image,/tmp/omni_img_ahr7_nej/circle_00.png,0.061756,0.918562,0.000646,0.292441,192
181,image,/tmp/omni_img_ahr7_nej/circle_01.png,0.062542,0.918263,0.000510,0.278043,193
182,text,wiki:History_0,0.266223,0.918348,0.001112,0.354464,194
183,text,wiki:Mathematics_4,0.251755,0.917934,0.000825,0.335991,195
184,physics,physics:step_40,0.068962,0.918507,0.000373,0.230671,196
185,physics,physics:step_41,0.069774,0.918090,0.000312,0.220015,197
186,text,wiki:Mathematics_4,0.266707,0.917962,0.000718,0.343614,198
187,text,wiki:Biology_2,0.225765,0.917488,0.000477,0.299594,199
188,physics,physics:step_42,0.066761,0.918426,0.000276,0.213618,200
189,text,wiki:Biology_2,0.265468,0.918035,0.000560,0.339341,201
190,audio,/tmp/omni_aud_9vbpth3p/noise_01_440hz.wav,0.172719,0.918152,0.000548,0.265449,202
191,text,wiki:Biology_1,0.237129,0.918084,0.000426,0.301909,203
192,text,wiki:Biology_1,0.272184,0.918103,0.000512,0.348242,204
193,image,/tmp/omni_img_ahr7_nej/circle_02.png,0.061960,0.918340,0.000228,0.224753,205
194,text,wiki:Biology_1,0.257909,0.918092,0.000434,0.329465,206
195,text,wiki:Biology_4,0.230980,0.918029,0.000305,0.299529,207
196,text,wiki:Biology_4,0.271342,0.918166,0.000425,0.351060,208
197,image,/tmp/omni_img_ahr7_nej/cross_00.png,0.069560,0.918534,0.000278,0.214939,209
198,text,wiki:Biology_4,0.266223,0.918019,0.000404,0.338784,210
199,text,wiki:Mathematics_3,0.244391,0.917981,0.000346,0.311888,211
200,physics,physics:step_43,0.067190,0.918131,0.000491,0.251798,222
201,code,/tmp/omni_code_5rm7dhr_/class_stack_00.py,7.815459,0.851931,0.842676,7.734655,223
202,text,wiki:Computer Science_2,0.238689,0.918264,0.005388,0.653271,224
203,text,wiki:Computer Science_2,0.273169,0.918178,0.004157,0.608925,225
204,text,wiki:Computer Science_2,0.260393,0.916962,0.003138,0.581603,226
205,text,wiki:Biology_3,0.235779,0.918056,0.002340,0.526537,227
206,text,wiki:Biology_3,0.267918,0.918078,0.001969,0.521480,228
207,physics,physics:step_44,0.066898,0.918251,0.001530,0.393144,229
208,text,wiki:History_0,0.242720,0.917892,0.001387,0.456932,230
209,text,wiki:History_0,0.271342,0.918363,0.001182,0.469585,231
210,physics,physics:step_45,0.059980,0.918195,0.000875,0.328755,232
211,text,wiki:History_0,0.266223,0.918151,0.000919,0.444067,233
212,text,wiki:History_0,0.242720,0.918229,0.000769,0.406024,234
213,image,/tmp/omni_img_ahr7_nej/cross_01.png,0.068981,0.918465,0.000598,0.298752,235
214,physics,physics:step_46,0.058895,0.918313,0.000548,0.285590,236
215,physics,physics:step_47,0.069611,0.918165,0.000506,0.266456,237
216,text,wiki:History_0,0.271342,0.918000,0.000669,0.403312,238
217,text,wiki:History_0,0.266223,0.918182,0.000588,0.396877,239
218,audio,/tmp/omni_aud_9vbpth3p/sine_00_220hz.wav,0.171834,0.918269,0.000843,0.310742,240
219,text,wiki:History_3,0.237630,0.918058,0.000478,0.348906,241
220,text,wiki:History_3,0.266213,0.917946,0.000476,0.383719,242
221,text,wiki:Biology_2,0.225765,0.918187,0.000321,0.332292,243
222,physics,physics:step_48,0.062700,0.918162,0.000400,0.233996,244
223,code,/tmp/omni_code_5rm7dhr_/class_stack_01.py,7.815455,0.851752,0.827357,7.719691,245
224,text,wiki:Biology_2,0.265468,0.918092,0.006408,0.721890,246
225,audio,/tmp/omni_aud_9vbpth3p/sine_01_440hz.wav,0.153902,0.918358,0.004539,0.608618,247
226,text,wiki:History_4,0.245905,0.917972,0.004009,0.616386,248
227,text,wiki:History_4,0.271342,0.906143,0.003135,0.593791,249
228,physics,physics:step_49,0.065829,0.918289,0.002141,0.475606,250
229,text,wiki:History_4,0.266223,0.917920,0.002174,0.543450,251
230,text,wiki:History_4,0.245905,0.917950,0.001808,0.499019,252
231,text,wiki:History_4,0.271342,0.918166,0.001500,0.503585,253
232,code,/tmp/omni_code_5rm7dhr_/fib_00.py,4.320841,0.892561,0.240735,4.226337,254
233,text,wiki:History_4,0.266223,0.901729,0.004330,0.639843,255
234,audio,/tmp/omni_aud_9vbpth3p/chirp_00_220hz.wav,0.157298,0.918271,0.002838,0.540544,256
235,image,/tmp/omni_img_ahr7_nej/cross_02.png,0.070345,0.900126,0.002116,0.477954,257
236,text,wiki:Physics_0,0.238298,0.917901,0.002305,0.523082,258
237,physics,physics:step_50,0.071068,0.917946,0.001628,0.432372,259
238,text,wiki:Physics_0,0.271342,0.918062,0.001757,0.503299,260
239,text,wiki:Physics_0,0.266223,0.917992,0.001542,0.491807,261
240,image,/tmp/omni_img_ahr7_nej/noise_00.png,0.051378,0.918331,0.000823,0.376397,262
241,physics,physics:step_51,0.058934,0.918263,0.000792,0.342849,263
242,text,wiki:Geography_0,0.234919,0.917907,0.001052,0.413887,264
243,text,wiki:Geography_0,0.265763,0.918094,0.000960,0.435394,265
244,physics,physics:step_52,0.076734,0.918258,0.000661,0.297031,266
245,image,/tmp/omni_img_ahr7_nej/noise_01.png,0.058727,0.918168,0.000500,0.282086,267
246,physics,physics:step_53,0.079272,0.918189,0.000522,0.281149,268
247,text,wiki:Geography_0,0.443470,0.917817,0.002636,0.577065,269
248,text,wiki:History_3,0.237630,0.918088,0.000664,0.364460,270
249,text,wiki:History_3,0.266213,0.918001,0.000662,0.397892,271
250,physics,physics:step_54,0.067120,0.918312,0.000441,0.254723,272
251,image,/tmp/omni_img_ahr7_nej/noise_02.png,0.057033,0.918323,0.000322,0.270614,273
252,text,wiki:Mathematics_4,0.251755,0.917950,0.000673,0.354669,274
253,text,wiki:Mathematics_4,0.266707,0.918292,0.000579,0.379842,275
254,text,wiki:Biology_3,0.235779,0.917880,0.000421,0.342329,276
255,physics,physics:step_55,0.055976,0.918442,0.000341,0.228007,277
256,image,/tmp/omni_img_ahr7_nej/square_00.png,0.056485,0.918772,0.000217,0.234363,278
257,text,wiki:Biology_3,0.267918,0.918040,0.000552,0.368742,279
258,text,wiki:Physics_3,0.245737,0.917728,0.000449,0.340807,280
259,text,wiki:Physics_3,0.267137,0.918009,0.000465,0.366848,281
260,text,wiki:Mathematics_4,0.251755,0.917945,0.000450,0.338646,282
261,image,/tmp/omni_img_ahr7_nej/square_01.png,0.055965,0.918265,0.000254,0.230041,283
262,text,wiki:Mathematics_4,0.266707,0.918125,0.000436,0.362722,284
263,text,wiki:Biology_2,0.225765,0.918186,0.000291,0.309960,285
264,audio,/tmp/omni_aud_9vbpth3p/chirp_01_440hz.wav,0.170713,0.918165,0.000665,0.270675,286
265,text,wiki:Biology_2,0.265468,0.918018,0.000419,0.356765,287
266,text,wiki:Biology_4,0.230980,0.918130,0.000290,0.313192,288
267,text,wiki:Biology_4,0.271342,0.917855,0.000402,0.364826,289
268,text,wiki:Biology_4,0.266223,0.918104,0.000374,0.358686,290
269,text,wiki:Mathematics_3,0.244391,0.918135,0.000333,0.327617,291
270,text,wiki:Mathematics_3,0.266256,0.918162,0.000326,0.364341,292
271,text,wiki:Physics_1,0.236917,0.918111,0.000225,0.327128,293
272,text,wiki:Physics_1,0.275010,0.918057,0.000344,0.375251,294
273,text,wiki:Physics_1,0.260393,0.918357,0.000377,0.353678,295
274,physics,physics:step_56,0.063086,0.918181,0.000415,0.228681,296
275,text,wiki:Physics_3,0.245737,0.917953,0.000287,0.335600,297
276,text,wiki:Physics_3,0.267137,0.917966,0.000308,0.362145,298
277,text,wiki:Biology_2,0.225765,0.918254,0.000202,0.308936,299
278,image,/tmp/omni_img_ahr7_nej/square_02.png,0.056660,0.918408,0.000302,0.226294,300
279,image,/tmp/omni_img_ahr7_nej/triangle_00.png,0.056779,0.918288,0.000261,0.219806,301
280,text,wiki:Biology_2,0.265468,0.917973,0.000351,0.351656,302
281,text,wiki:Biology_1,0.237129,0.918038,0.000241,0.312749,303
282,text,wiki:Biology_1,0.272184,0.918201,0.000346,0.362527,304
283,text,wiki:Biology_1,0.257909,0.918084,0.000277,0.346986,305
284,text,wiki:History_4,0.245905,0.917734,0.000251,0.330278,306
285,text,wiki:History_4,0.271342,0.918141,0.000307,0.367562,307
286,text,wiki:History_4,0.266223,0.918147,0.000277,0.358160,308
287,text,wiki:History_0,0.242720,0.917904,0.000215,0.329008,309
288,text,wiki:History_0,0.271342,0.918029,0.000284,0.372197,310
289,text,wiki:History_0,0.266223,0.918099,0.000255,0.362234,311
290,image,/tmp/omni_img_ahr7_nej/triangle_01.png,0.056326,0.918193,0.000384,0.237580,312
291,text,wiki:History_3,0.237630,0.918127,0.000230,0.323166,313
292,audio,/tmp/omni_aud_9vbpth3p/chord_00_220hz.wav,0.156743,0.918228,0.000658,0.261281,314
293,text,wiki:History_3,0.266213,0.918029,0.000299,0.354973,315
294,image,/tmp/omni_img_ahr7_nej/triangle_02.png,0.056581,0.918365,0.000286,0.220264,316
295,audio,/tmp/omni_aud_9vbpth3p/chord_01_440hz.wav,0.157181,0.918195,0.000554,0.251869,317
296,code,/tmp/omni_code_5rm7dhr_/fib_01.py,4.322077,0.892787,0.257583,4.295170,318
297,image,/tmp/omni_img_ahr7_nej/circle_00.png,0.061756,0.918249,0.001604,0.354478,319
298,physics,physics:step_57,0.062151,0.917927,0.001151,0.317483,320
299,physics,physics:step_58,0.050530,0.918238,0.000807,0.292811,321
300,physics,physics:step_59,0.058573,0.918188,0.000423,0.251554,337
301,text,wiki:History_4,0.245905,0.918088,0.000281,0.349543,338
302,text,wiki:History_4,0.271342,0.918078,0.000321,0.384353,339
303,text,wiki:History_4,0.266223,0.918067,0.000291,0.374576,340
304,image,/tmp/omni_img_ahr7_nej/circle_01.png,0.062542,0.918298,0.000383,0.254510,341
305,text,wiki:Mathematics_2,0.248881,0.917804,0.000282,0.344497,342
306,text,wiki:Mathematics_2,0.266364,0.918089,0.000285,0.374109,343
307,physics,physics:step_60,0.067098,0.918403,0.000360,0.242955,344
308,text,wiki:Biology_3,0.235779,0.918016,0.000217,0.331602,345
309,text,wiki:Biology_3,0.267918,0.918066,0.000301,0.370978,346
310,text,wiki:History_4,0.245905,0.917979,0.000245,0.341300,347
311,text,wiki:History_4,0.271342,0.918004,0.000296,0.377019,348
312,text,wiki:History_4,0.266223,0.918084,0.000268,0.366390,349
313,text,wiki:Physics_1,0.236917,0.917937,0.000175,0.337722,350
314,text,wiki:Physics_1,0.275010,0.917963,0.000286,0.385135,351
315,text,wiki:Physics_1,0.260393,0.918104,0.000312,0.356120,352
316,text,wiki:Geography_4,0.222755,0.917979,0.000183,0.321194,353
317,physics,physics:step_61,0.066885,0.918328,0.000459,0.231048,354
318,text,wiki:Geography_4,0.271357,0.917888,0.000286,0.373630,355
319,audio,/tmp/omni_aud_9vbpth3p/click_00_220hz.wav,0.169014,0.918111,0.000782,0.269160,356
320,audio,/tmp/omni_aud_9vbpth3p/click_01_440hz.wav,0.169014,0.918087,0.000666,0.258864,357
321,text,wiki:Geography_4,0.343732,0.918262,0.001064,0.416569,358
322,text,wiki:Computer Science_1,0.246705,0.918047,0.000295,0.342331,359
323,text,wiki:Computer Science_1,0.267755,0.918103,0.000301,0.365243,360
324,image,/tmp/omni_img_ahr7_nej/circle_02.png,0.061960,0.918264,0.000291,0.231918,361
325,physics,physics:step_62,0.070150,0.918210,0.000318,0.211070,362
326,image,/tmp/omni_img_ahr7_nej/cross_00.png,0.069560,0.918278,0.000235,0.208670,363
327,text,wiki:Computer Science_1,0.717103,0.917749,0.006960,0.715099,364
328,physics,physics:step_63,0.057511,0.918429,0.000242,0.200017,365
329,text,wiki:Biology_3,0.235779,0.917868,0.000347,0.316688,366
330,physics,physics:step_64,0.057625,0.918455,0.000246,0.193239,367
331,text,wiki:Biology_3,0.267918,0.918058,0.000445,0.348232,368
332,physics,physics:step_65,0.064117,0.918080,0.000245,0.202470,369
333,image,/tmp/omni_img_ahr7_nej/cross_01.png,0.068981,0.918292,0.000190,0.191422,370
334,text,wiki:Physics_3,0.245737,0.917877,0.000395,0.317798,371
335,physics,physics:step_66,0.059660,0.918212,0.000196,0.194085,372
336,text,wiki:Physics_3,0.267137,0.917945,0.000453,0.336143,373
337,physics,physics:step_67,0.063712,0.918310,0.000203,0.188039,374
338,text,wiki:Mathematics_3,0.244391,0.918102,0.000378,0.303828,375
339,audio,/tmp/omni_aud_9vbpth3p/noise_00_220hz.wav,0.164001,0.918219,0.000509,0.234394,376
340,text,wiki:Mathematics_3,0.266256,0.917996,0.000441,0.332866,377
341,code,/tmp/omni_code_5rm7dhr_/import_heavy_00.py,10.462508,0.751457,1.509418,10.435530,378
342,image,/tmp/omni_img_ahr7_nej/cross_02.png,0.070345,0.918347,0.009854,0.728022,379
343,text,wiki:History_3,0.237630,0.918067,0.006974,0.685621,380
344,physics,physics:step_68,0.067950,0.918471,0.004872,0.583796,381
345,physics,physics:step_69,0.065800,0.884709,0.003642,0.526611,382
346,audio,/tmp/omni_aud_9vbpth3p/noise_01_440hz.wav,0.172719,0.918146,0.003442,0.485794,383
347,text,wiki:History_3,0.266213,0.918092,0.002533,0.497850,384
348,text,wiki:Geography_1,0.236690,0.899823,0.001995,0.444701,385
349,text,wiki:Geography_1,0.273008,0.918046,0.001715,0.457162,386
350,physics,physics:step_70,0.060177,0.909707,0.001195,0.354560,387
351,text,wiki:Geography_1,0.254855,0.918200,0.001162,0.407248,388
352,text,wiki:Physics_2,0.242079,0.917925,0.000952,0.385653,389
353,text,wiki:Physics_2,0.272555,0.918004,0.000962,0.404554,390
354,text,wiki:Physics_2,0.256701,0.918179,0.000767,0.380278,391
355,text,wiki:Mathematics_4,0.251755,0.917890,0.000748,0.364034,392
356,physics,physics:step_71,0.058056,0.918426,0.000549,0.288315,393
357,physics,physics:step_72,0.065349,0.918119,0.000455,0.271986,394
358,text,wiki:Mathematics_4,0.266707,0.918060,0.000623,0.367238,395
