step,session_id,nav_action,nav_action_name,article_title,pos_in_article,action_vec_norm,free_energy,prediction_error,confidence,obs_norm,beta,info_gain,text_preview,in_consolidation,delta_fe_consolidation
18,0,1,backward,Biology_10,256,1.660655,15.622109,0.203934,0.917365,0.150677,0.999248,4.223080, Biology_10 is an article abou,0,0.000000
19,0,2,fast_forward,Mathematics_8,256,1.612569,15.926056,0.219119,0.917743,0.163233,0.999208,0.908489, Mathematics_8 is an article a,0,0.000000
20,0,1,backward,Mathematics_8,256,1.507703,15.859492,0.220979,0.917266,0.163233,0.999168,3.297548, Mathematics_8 is an article a,0,0.000000
21,0,2,fast_forward,History_19,256,1.385159,16.085284,0.203511,0.917521,0.142155,0.999129,3.158351, History_19 is an article abou,0,0.000000
22,0,2,fast_forward,Mathematics_20,256,1.532335,16.117938,0.221855,0.917912,0.159052,0.999089,3.491622, Mathematics_20 is an article ,0,0.000000
23,0,4,follow_link,Mathematics_18,256,1.789408,16.256400,0.221148,0.917232,0.155446,0.999050,3.250213, Mathematics_18 is an article ,0,0.000000
24,0,4,follow_link,Biology_19,256,1.600616,16.254791,0.213926,0.917657,0.151345,0.999010,1.844411, Biology_19 is an article abou,0,0.000000
25,0,4,follow_link,Physics_9,256,1.449242,16.010300,0.220903,0.917504,0.161532,0.998970,2.479977, Physics_9 is an article about,0,0.000000
26,0,5,random_article,History_9,256,1.390031,15.914761,0.223594,0.917577,0.158281,0.998931,2.279429, History_9 is an article about,0,0.000000
27,0,1,backward,History_9,256,1.398787,15.927958,0.224849,0.917637,0.158281,0.998891,2.653596, History_9 is an article about,0,0.000000
28,0,0,forward,History_9,504,2.221700,16.066122,0.257754,0.916894,0.190510,0.998852,1.013192,", and empire. It discusses con",0,0.000000
29,0,4,follow_link,Physics_21,256,1.251078,16.172948,0.217530,0.917681,0.152513,0.998812,2.351851, Physics_21 is an article abou,0,0.000000
30,0,5,random_article,Geography_2,256,1.782152,16.156359,0.231371,0.917586,0.154613,0.998772,2.928189, Geography_2 is an article abo,0,0.000000
31,0,5,random_article,Biology_22,256,1.928276,16.304783,0.222319,0.917577,0.145370,0.998733,2.336396, Biology_22 is an article abou,0,0.000000
32,0,3,jump_within,Biology_22,412,1.246545,16.250813,0.232846,0.917160,0.157537,0.998693,1.923565,: [[Geography_10|Geography_10],0,0.000000
33,0,2,fast_forward,Biology_23,256,1.234758,15.778241,0.224567,0.917618,0.147154,0.998654,0.660514, Biology_23 is an article abou,0,0.000000
34,0,3,jump_within,Biology_23,543,1.678127,15.836204,0.261898,0.916939,0.186706,0.998614,1.289677,"war, revolution, and empire. I",0,0.000000
35,0,5,random_article,Geography_1,256,1.442299,15.739371,0.228765,0.917966,0.149580,0.998574,0.885304, Geography_1 is an article abo,0,0.000000
36,0,4,follow_link,Physics_22,256,2.179352,15.590885,0.241304,0.917420,0.162554,0.998535,2.239390, Physics_22 is an article abou,0,0.000000
37,0,3,jump_within,Physics_22,447,1.886893,15.563560,0.258126,0.917095,0.178128,0.998495,0.176211,History_9|History_9]]. It disc,0,0.000000
38,0,0,forward,Physics_22,507,1.663471,15.893452,0.276680,0.917030,0.197640,0.998456,1.962274,e. It discusses concepts such ,0,0.000000
39,0,0,forward,Computer Science_21,256,1.101730,16.213594,0.244902,0.917484,0.163553,0.998416,2.966249, Computer Science_21 is an art,0,0.000000
40,0,3,jump_within,Computer Science_21,454,2.110446,16.245571,0.256714,0.917185,0.176960,0.998376,2.971375,"Physics_17]], [[Physics_21|Phy",0,0.000000
41,0,3,jump_within,Computer Science_21,473,2.054538,16.415053,0.265111,0.917134,0.180680,0.998337,2.852364,sics_21|Physics_21]]. It discu,0,0.000000
42,0,3,jump_within,Computer Science_21,398,1.631111,16.300543,0.249360,0.917119,0.167401,0.998297,0.361061,ience involves king and dynast,0,0.000000
43,0,3,jump_within,Computer Science_21,291,1.513356,16.228887,0.252469,0.917439,0.167983,0.998258,0.843668,about computer science. It dis,0,0.000000
44,0,0,forward,Computer Science_21,532,1.508440,16.255804,0.277889,0.916889,0.188836,0.998218,0.299737,mpire. It discusses concepts s,0,0.000000
45,0,0,forward,Physics_3,256,1.511049,16.391299,0.249122,0.917513,0.160876,0.998178,2.436601, Physics_3 is an article about,0,0.000000
46,0,3,jump_within,Physics_3,463,1.505176,16.647876,0.280478,0.916937,0.192196,0.998139,1.813765,. It discusses concepts such a,0,0.000000
47,0,2,fast_forward,History_1,256,1.944253,16.603871,0.257610,0.917388,0.163759,0.998099,2.229769, History_1 is an article about,0,0.000000
48,0,3,jump_within,History_1,370,1.440349,16.711978,0.259500,0.917056,0.167845,0.998060,0.298647,story involves king and dynast,0,0.000000
49,0,1,backward,History_1,256,1.392255,16.981444,0.259255,0.917349,0.163759,0.998020,0.878100, History_1 is an article about,0,0.000000
50,0,2,fast_forward,Physics_12,256,1.912306,17.197125,0.237133,0.917849,0.140541,0.997980,0.823183, Physics_12 is an article abou,0,0.000000
51,0,5,random_article,Computer Science_8,256,1.656724,17.022868,0.263735,0.917574,0.161714,0.997941,0.745790, Computer Science_8 is an arti,0,0.000000
52,0,1,backward,Computer Science_8,256,1.458982,17.330583,0.264415,0.917502,0.161714,0.997901,0.401221, Computer Science_8 is an arti,0,0.000000
53,0,1,backward,Computer Science_8,256,1.561103,17.173216,0.265083,0.917310,0.161714,0.997862,0.670017, Computer Science_8 is an arti,0,0.000000
54,0,0,forward,Computer Science_8,512,1.530973,17.204605,0.287774,0.916878,0.192728,0.997822,0.605298,"cepts such as war, revolution,",0,0.000000
55,0,2,fast_forward,History_20,256,1.171024,17.198109,0.252353,0.917496,0.148002,0.997782,0.694927, History_20 is an article abou,0,0.000000
56,0,4,follow_link,Computer Science_21,256,1.843376,17.224398,0.261744,0.917399,0.163553,0.997743,0.781041, Computer Science_21 is an art,0,0.000000
57,0,4,follow_link,Physics_17,256,1.504340,17.548515,0.257487,0.917568,0.156471,0.997703,0.691599, Physics_17 is an article abou,0,0.000000
58,0,0,forward,Physics_17,512,1.594857,17.697846,0.286226,0.916755,0.186706,0.997664,0.809343,"war, revolution, and empire. I",0,0.000000
59,0,5,random_article,Mathematics_0,256,1.572950,17.812143,0.261788,0.917456,0.154113,0.997624,0.826450, Mathematics_0 is an article a,0,0.000000
60,0,0,forward,Mathematics_0,512,1.619424,17.601318,0.291062,0.917431,0.192332,0.997584,0.816499, discusses concepts such as wa,0,0.000000
61,0,4,follow_link,Physics_3,256,1.572721,17.591658,0.262934,0.917416,0.160876,0.997545,0.507924, Physics_3 is an article about,0,0.000000
62,0,1,backward,Physics_3,256,1.381198,17.604520,0.263229,0.917942,0.160876,0.997505,0.755094, Physics_3 is an article about,0,0.000000
63,0,4,follow_link,Physics_6,256,1.331732,17.553952,0.267687,0.918027,0.159132,0.997466,0.506959, Physics_6 is an article about,0,0.000000
64,0,5,random_article,Biology_12,256,1.571139,17.693508,0.271245,0.917441,0.158808,0.997426,0.803835, Biology_12 is an article abou,0,0.000000
65,0,5,random_article,Physics_18,256,1.586802,17.949879,0.265716,0.917488,0.157569,0.997386,0.873028, Physics_18 is an article abou,0,0.000000
66,0,0,forward,Physics_18,512,1.542961,17.800780,0.291086,0.917015,0.186706,0.997347,0.587763,"war, revolution, and empire. I",0,0.000000
67,0,2,fast_forward,Mathematics_17,256,1.500840,17.887018,0.276757,0.917179,0.167008,0.997307,0.507927, Mathematics_17 is an article ,0,0.000000
68,0,4,follow_link,Physics_23,256,1.723788,18.001368,0.269479,0.917781,0.159990,0.997268,0.715164, Physics_23 is an article abou,0,0.000000
69,0,5,random_article,Physics_3,256,1.536561,18.106727,0.267631,0.917671,0.160876,0.997228,0.664102, Physics_3 is an article about,0,0.000000
70,0,4,follow_link,Physics_6,256,1.038818,18.086835,0.271944,0.917659,0.159132,0.997188,0.728987, Physics_6 is an article about,0,0.000000
71,0,4,follow_link,Computer Science_23,256,1.297283,17.951609,0.274521,0.917727,0.158248,0.997149,0.712063, Computer Science_23 is an art,0,0.000000
72,0,0,forward,Computer Science_23,504,1.677468,17.937039,0.289736,0.917032,0.182505,0.997109,0.809801,History_20]]. It discusses con,0,0.000000
73,0,2,fast_forward,Geography_14,256,1.077484,18.132611,0.275806,0.917213,0.158312,0.997070,0.187772, Geography_14 is an article ab,0,0.000000
74,0,0,forward,Geography_14,512,1.556648,18.593259,0.294174,0.916948,0.184316,0.997030,0.670877,ence_21|Computer Science_21]].,0,0.000000
75,0,2,fast_forward,Geography_15,256,1.350432,18.523928,0.279501,0.917490,0.167093,0.996990,0.897421, Geography_15 is an article ab,0,0.000000
76,0,4,follow_link,Mathematics_0,256,1.594022,18.790917,0.273649,0.917358,0.154113,0.996951,0.673267, Mathematics_0 is an article a,0,0.000000
77,0,4,follow_link,Geography_4,256,1.205773,18.698006,0.271460,0.917238,0.153544,0.996911,0.233209, Geography_4 is an article abo,0,0.000000
78,0,5,random_article,Geography_7,256,1.520952,18.774365,0.277171,0.917603,0.164926,0.996872,0.693128, Geography_7 is an article abo,0,0.000000
79,0,3,jump_within,Geography_7,372,1.957351,18.970734,0.279648,0.917180,0.169216,0.996832,1.194531,geography involves king and dy,0,0.000000
80,0,3,jump_within,Geography_7,374,1.317694,18.900073,0.278427,0.917202,0.167643,0.996792,1.303136,ography involves king and dyna,0,0.000000
81,0,4,follow_link,History_18,256,1.337659,18.904359,0.283313,0.917487,0.164548,0.996753,0.947839, History_18 is an article abou,0,0.000000
82,0,4,follow_link,Computer Science_8,256,1.690100,18.403300,0.283744,0.917373,0.161714,0.996713,1.171548, Computer Science_8 is an arti,0,0.000000
83,0,2,fast_forward,Physics_4,256,1.617369,18.468102,0.271535,0.918422,0.156288,0.996674,0.926009, Physics_4 is an article about,0,0.000000
84,0,4,follow_link,Biology_11,256,1.650250,18.213380,0.271840,0.917664,0.152868,0.996634,0.575991, Biology_11 is an article abou,0,0.000000
85,0,4,follow_link,Physics_0,256,1.640357,18.342536,0.279874,0.917572,0.161967,0.996594,0.650412, Physics_0 is an article about,0,0.000000
86,0,1,backward,Physics_0,256,1.521919,18.198112,0.280294,0.917625,0.161967,0.996555,0.661426, Physics_0 is an article about,0,0.000000
87,0,2,fast_forward,Mathematics_19,256,1.816469,18.290643,0.283467,0.917266,0.167960,0.996515,1.120761, Mathematics_19 is an article ,0,0.000000
88,0,4,follow_link,Physics_12,256,1.679686,18.302031,0.260891,0.917346,0.140541,0.996476,1.006317, Physics_12 is an article abou,0,0.000000
89,0,2,fast_forward,History_20,256,1.342954,18.344174,0.271078,0.917429,0.148002,0.996436,0.694601, History_20 is an article abou,0,0.000000
90,0,4,follow_link,Physics_5,256,1.735709,18.317983,0.271022,0.917410,0.150880,0.996396,0.562639, Physics_5 is an article about,0,0.000000
91,0,5,random_article,Geography_22,256,1.712602,18.083074,0.281458,0.917776,0.154592,0.996357,0.631255, Geography_22 is an article ab,0,0.000000
92,0,0,forward,Geography_22,512,1.401915,18.311178,0.298918,0.916915,0.183563,0.996317,0.291933,ce_15|Computer Science_15]]. I,0,0.000000
93,0,3,jump_within,Geography_22,474,2.004560,18.208287,0.297937,0.917572,0.178876,0.996278,0.456077,"omputer Science_22]], [[Comput",0,0.000000
94,0,5,random_article,History_9,256,1.370616,18.324645,0.280388,0.917650,0.158281,0.996238,0.608369, History_9 is an article about,0,0.000000
95,0,3,jump_within,History_9,324,1.431785,18.507392,0.278297,0.917299,0.159219,0.996198,0.602614,"s war, revolution, and empire.",0,0.000000
96,0,0,forward,History_9,504,1.488177,18.526990,0.308149,0.917164,0.189921,0.996159,0.440409,ire. It discusses concepts suc,0,0.000000
97,0,2,fast_forward,Biology_5,256,1.363547,18.740667,0.287587,0.917459,0.163574,0.996119,0.535052, Biology_5 is an article about,0,0.000000
98,0,4,follow_link,Mathematics_14,256,1.317847,18.761579,0.286646,0.917395,0.159429,0.996080,0.468867, Mathematics_14 is an article ,0,0.000000
99,0,4,follow_link,Biology_4,256,1.552566,18.749434,0.278322,0.917597,0.145007,0.996040,0.608898, Biology_4 is an article about,0,0.000000
100,0,-1,consolidation,History_14,256,0.000000,18.752498,0.000000,0.000000,0.000000,0.996040,0.000000,,1,0.002588
101,0,-1,consolidation,History_14,256,0.000000,18.754533,0.000000,0.000000,0.000000,0.996040,0.000000,,1,0.002026
102,0,-1,consolidation,History_14,256,0.000000,18.756683,0.000000,0.000000,0.000000,0.996040,0.000000,,1,0.002138
103,0,-1,consolidation,History_14,256,0.000000,18.758502,0.000000,0.000000,0.000000,0.996040,0.000000,,1,0.001818
104,0,-1,consolidation,History_14,256,0.000000,18.760289,0.000000,0.000000,0.000000,0.996040,0.000000,,1,0.001778
105,0,-1,consolidation,History_14,256,0.000000,18.763036,0.000000,0.000000,0.000000,0.996040,0.000000,,1,0.002703
106,0,-1,consolidation,History_14,256,0.000000,18.764668,0.000000,0.000000,0.000000,0.996040,0.000000,,1,0.001636
107,0,-1,consolidation,History_14,256,0.000000,18.767403,0.000000,0.000000,0.000000,0.996040,0.000000,,1,0.002696
108,0,-1,consolidation,History_14,256,0.000000,18.768767,0.000000,0.000000,0.000000,0.996040,0.000000,,1,0.001376
109,0,-1,consolidation,History_14,256,0.000000,18.769660,0.000000,0.000000,0.000000,0.996040,0.000000,,1,0.000909
110,0,-1,consolidation,History_14,256,0.000000,18.771284,0.000000,0.000000,0.000000,0.996040,0.000000,,1,0.001611
111,0,-1,consolidation,History_14,256,0.000000,18.772897,0.000000,0.000000,0.000000,0.996040,0.000000,,1,0.001610
112,0,-1,consolidation,History_14,256,0.000000,18.774992,0.000000,0.000000,0.000000,0.996040,0.000000,,1,0.002076
113,0,-1,consolidation,History_14,256,0.000000,18.777200,0.000000,0.000000,0.000000,0.996040,0.000000,,1,0.002182
114,0,-1,consolidation,History_14,256,0.000000,18.779013,0.000000,0.000000,0.000000,0.996040,0.000000,,1,0.001807
115,0,-1,consolidation,History_14,256,0.000000,18.780159,0.000000,0.000000,0.000000,0.996040,0.000000,,1,0.001158
116,0,-1,consolidation,History_14,256,0.000000,18.782110,0.000000,0.000000,0.000000,0.996040,0.000000,,1,0.001928
117,0,-1,consolidation,History_14,256,0.000000,18.783543,0.000000,0.000000,0.000000,0.996040,0.000000,,1,0.001432
118,0,-1,consolidation,History_14,256,0.000000,18.784665,0.000000,0.000000,0.000000,0.996040,0.000000,,1,0.001135
119,0,-1,consolidation,History_14,256,0.000000,18.786754,0.000000,0.000000,0.000000,0.996040,0.000000,,1,0.002049
120,1,1,backward,History_14,256,1.504111,18.604550,0.386121,0.917340,0.163264,0.996000,0.473940, History_14 is an article abou,0,0.000000
121,1,2,fast_forward,Geography_13,256,1.672333,18.486621,0.376958,0.918002,0.151196,0.995961,0.353551, Geography_13 is an article ab,0,0.000000
122,1,1,backward,Geography_13,256,1.476327,18.560119,0.376479,0.917913,0.151196,0.995921,0.417037, Geography_13 is an article ab,0,0.000000
123,1,2,fast_forward,Physics_6,256,1.534922,18.850342,0.386080,0.917504,0.159132,0.995882,0.457673, Physics_6 is an article about,0,0.000000
124,1,5,random_article,Biology_10,256,1.480230,18.863850,0.379743,0.917365,0.150677,0.995842,0.606417, Biology_10 is an article abou,0,0.000000
125,1,3,jump_within,Biology_10,451,1.672566,18.540051,0.393916,0.916906,0.180510,0.995802,0.495253,ics_17|Mathematics_17]]. It di,0,0.000000
126,1,2,fast_forward,Geography_7,256,1.587910,18.412434,0.386022,0.917285,0.164926,0.995763,0.236287, Geography_7 is an article abo,0,0.000000
127,1,5,random_article,History_2,256,1.687851,18.492367,0.383430,0.917707,0.155218,0.995723,0.348145, History_2 is an article about,0,0.000000
128,1,4,follow_link,Physics_10,256,1.132584,18.271760,0.375798,0.917465,0.151745,0.995684,0.387662, Physics_10 is an article abou,0,0.000000
129,1,5,random_article,History_13,256,1.857137,18.161774,0.379172,0.917896,0.152397,0.995644,0.334055, History_13 is an article abou,0,0.000000
130,1,2,fast_forward,Geography_16,256,1.533588,18.173304,0.392247,0.918074,0.164283,0.995604,0.325626, Geography_16 is an article ab,0,0.000000
131,1,5,random_article,History_0,256,1.361984,18.160131,0.387397,0.917624,0.161458,0.995565,0.337146, History_0 is an article about,0,0.000000
132,1,1,backward,History_0,256,1.374731,18.153152,0.387613,0.917679,0.161458,0.995525,0.382654, History_0 is an article about,0,0.000000
133,1,4,follow_link,Geography_15,256,1.660895,18.018558,0.388525,0.917336,0.167093,0.995486,0.365509, Geography_15 is an article ab,0,0.000000
134,1,1,backward,Geography_15,256,1.337961,18.271392,0.388829,0.917329,0.167093,0.995446,0.416802, Geography_15 is an article ab,0,0.000000
135,1,3,jump_within,Geography_15,273,1.809440,18.201674,0.389527,0.917468,0.166531,0.995406,0.361096,an article about geography. It,0,0.000000
136,1,0,forward,Geography_15,517,1.793347,18.394987,0.404223,0.916954,0.191097,0.995367,0.375303,d empire. It discusses concept,0,0.000000
137,1,4,follow_link,Mathematics_0,256,1.547606,18.320565,0.389025,0.917376,0.154113,0.995327,0.338010, Mathematics_0 is an article a,0,0.000000
138,1,2,fast_forward,Geography_20,256,1.257095,18.300078,0.390404,0.917685,0.161112,0.995288,0.323860, Geography_20 is an article ab,0,0.000000
139,1,5,random_article,Computer Science_10,256,1.524472,18.296093,0.390142,0.917548,0.162699,0.995248,0.275078, Computer Science_10 is an art,0,0.000000
140,1,1,backward,Computer Science_10,256,1.570905,18.244327,0.390278,0.917399,0.162699,0.995208,0.416947, Computer Science_10 is an art,0,0.000000
141,1,4,follow_link,Computer Science_21,256,1.652765,18.056805,0.385865,0.917440,0.163553,0.995169,0.372902, Computer Science_21 is an art,0,0.000000
142,1,3,jump_within,Computer Science_21,503,1.474350,18.168467,0.407187,0.917604,0.194352,0.995129,0.363250,"sses concepts such as war, rev",0,0.000000
143,1,5,random_article,Physics_6,256,1.557186,18.293555,0.390293,0.917566,0.159132,0.995090,0.309359, Physics_6 is an article about,0,0.000000
144,1,4,follow_link,Geography_10,256,1.769131,18.221677,0.383320,0.917713,0.152725,0.995050,0.497013, Geography_10 is an article ab,0,0.000000
145,1,1,backward,Geography_10,256,1.650433,18.232633,0.382930,0.917748,0.152725,0.995010,0.356453, Geography_10 is an article ab,0,0.000000
146,1,1,backward,Geography_10,256,1.734487,18.177201,0.382584,0.917559,0.152725,0.994971,0.264083, Geography_10 is an article ab,0,0.000000
147,1,2,fast_forward,Biology_22,256,1.178693,18.070610,0.384008,0.917611,0.145370,0.994931,0.445821, Biology_22 is an article abou,0,0.000000
148,1,5,random_article,Mathematics_19,256,1.845555,17.965426,0.387533,0.917366,0.167960,0.994892,0.492896, Mathematics_19 is an article ,0,0.000000
149,1,0,forward,Mathematics_19,512,1.327372,17.794362,0.405926,0.916761,0.190999,0.994852,0.423011,"oncepts such as war, revolutio",0,0.000000
150,1,0,forward,Mathematics_19,535,1.645925,17.827509,0.421523,0.917501,0.195175,0.994812,0.279730," revolution, and empire",0,0.000000
151,1,4,follow_link,Computer Science_14,256,1.821128,17.925954,0.393666,0.917394,0.161275,0.994773,0.490553, Computer Science_14 is an art,0,0.000000
152,1,5,random_article,Computer Science_14,256,1.144405,18.071406,0.393849,0.917305,0.161275,0.994733,0.476357, Computer Science_14 is an art,0,0.000000
153,1,5,random_article,Biology_17,256,1.737244,17.925752,0.387852,0.917485,0.151477,0.994694,0.346641, Biology_17 is an article abou,0,0.000000
154,1,3,jump_within,Biology_17,447,1.578789,18.054770,0.399468,0.916825,0.176017,0.994654,0.297482,story_20|History_20]]. It disc,0,0.000000
155,1,2,fast_forward,Computer Science_2,256,1.549299,17.957678,0.392744,0.917255,0.164981,0.994614,0.354099, Computer Science_2 is an arti,0,0.000000
156,1,0,forward,Computer Science_2,512,1.615976,17.905628,0.409883,0.917193,0.193231,0.994575,0.238926,"cusses concepts such as war, r",0,0.000000
157,1,1,backward,Computer Science_2,256,1.466183,18.090549,0.394234,0.917088,0.164981,0.994535,0.304837, Computer Science_2 is an arti,0,0.000000
158,1,3,jump_within,Computer Science_2,312,1.589679,17.902599,0.392306,0.916932,0.169379,0.994496,0.184929,. It discusses concepts such a,0,0.000000
159,1,3,jump_within,Computer Science_2,360,1.203670,17.815644,0.391752,0.916863,0.168016,0.994456,0.368698, and empire. The study of comp,0,0.000000
160,1,4,follow_link,Geography_19,256,1.718491,17.982739,0.394702,0.917824,0.147825,0.994416,0.473956, Geography_19 is an article ab,0,0.000000
161,1,2,fast_forward,History_0,256,1.540811,18.075085,0.394739,0.917312,0.161458,0.994377,0.341094, History_0 is an article about,0,0.000000
162,1,3,jump_within,History_0,383,1.901194,17.929179,0.394767,0.916895,0.164905,0.994337,0.330768,s king and dynasty. See also: ,0,0.000000
163,1,5,random_article,Biology_19,256,1.497457,17.880103,0.391202,0.917302,0.151345,0.994298,0.206509, Biology_19 is an article abou,0,0.000000
164,1,2,fast_forward,Physics_11,256,1.205503,18.086276,0.380930,0.917511,0.148386,0.994258,0.444689, Physics_11 is an article abou,0,0.000000
165,1,2,fast_forward,Geography_21,256,1.630074,18.101076,0.386759,0.917860,0.148087,0.994218,0.269752, Geography_21 is an article ab,0,0.000000
166,1,0,forward,Geography_21,512,1.474046,18.269423,0.403961,0.917113,0.189054,0.994179,0.473897,_17]]. It discusses concepts s,0,0.000000
167,1,5,random_article,Biology_24,256,1.588053,18.095964,0.394451,0.917509,0.155619,0.994139,0.383825, Biology_24 is an article abou,0,0.000000
168,1,3,jump_within,Biology_24,267,1.786983,18.004478,0.392695,0.917245,0.157801,0.994100,0.365132, is an article about biology. ,0,0.000000
169,1,2,fast_forward,Geography_4,256,1.171424,18.049036,0.389330,0.917378,0.153544,0.994060,0.386352, Geography_4 is an article abo,0,0.000000
170,1,2,fast_forward,Physics_4,256,1.508816,17.986731,0.389428,0.917907,0.156288,0.994020,0.417263, Physics_4 is an article about,0,0.000000
171,1,2,fast_forward,History_15,256,1.521497,18.200210,0.393541,0.917557,0.165635,0.993981,0.319359, History_15 is an article abou,0,0.000000
172,1,0,forward,History_15,512,1.636578,18.169564,0.409350,0.917053,0.186326,0.993941,0.319211,"evolution, and empire. It disc",0,0.000000
173,1,0,forward,History_15,513,1.827327,18.303802,1.003618,0.917594,0.909727,0.993902,0.427384,e,0,0.000000
174,1,0,forward,Mathematics_24,256,1.860510,18.336956,0.420421,0.917203,0.174184,0.993862,0.481857, Mathematics_24 is an article ,0,0.000000
175,1,1,backward,Mathematics_24,256,1.362732,18.358765,0.419518,0.917296,0.174184,0.993822,0.261998, Mathematics_24 is an article ,0,0.000000
176,1,1,backward,Mathematics_24,256,1.659868,18.295623,0.418706,0.917367,0.174184,0.993783,0.321531, Mathematics_24 is an article ,0,0.000000
177,1,1,backward,Mathematics_24,256,1.304484,18.038100,0.417974,0.917295,0.174184,0.993743,0.356292, Mathematics_24 is an article ,0,0.000000
178,1,1,backward,Mathematics_24,256,1.472972,17.939339,0.417315,0.917288,0.174184,0.993704,0.318848, Mathematics_24 is an article ,0,0.000000
179,1,1,backward,Mathematics_24,256,1.234408,17.976419,0.416722,0.917130,0.174184,0.993664,0.277400, Mathematics_24 is an article ,0,0.000000
180,1,1,backward,Mathematics_24,256,1.205795,17.911270,0.416190,0.917184,0.174184,0.993624,0.334495, Mathematics_24 is an article ,0,0.000000
181,1,3,jump_within,Mathematics_24,401,1.525070,17.901577,0.412384,0.917096,0.171981,0.993585,0.254019,g and dynasty. See also: [[Phy,0,0.000000
182,1,4,follow_link,Physics_5,256,1.971983,18.040637,0.402061,0.917433,0.150880,0.993545,0.449844, Physics_5 is an article about,0,0.000000
183,1,1,backward,Physics_5,256,1.858538,18.158449,0.400948,0.917330,0.150880,0.993506,0.261907, Physics_5 is an article about,0,0.000000
184,1,3,jump_within,Physics_5,471,1.325858,17.958901,0.414671,0.916929,0.181323,0.993466,0.431711,"ence_4]], [[Physics_15|Physics",0,0.000000
185,1,4,follow_link,Physics_15,256,1.798292,18.026251,0.406723,0.917335,0.162559,0.993426,0.347644, Physics_15 is an article abou,0,0.000000
186,1,4,follow_link,Mathematics_0,256,1.583601,17.730080,0.406049,0.917301,0.154113,0.993387,0.240058, Mathematics_0 is an article a,0,0.000000
187,1,2,fast_forward,Mathematics_18,256,1.471751,17.640159,0.404810,0.917364,0.155446,0.993347,0.351122, Mathematics_18 is an article ,0,0.000000
188,1,4,follow_link,Biology_19,256,1.908976,17.519772,0.401552,0.917586,0.151345,0.993308,0.441292, Biology_19 is an article abou,0,0.000000
189,1,0,forward,Biology_19,501,1.393816,17.302993,0.418919,0.916983,0.189946,0.993268,0.591832,nd empire. It discusses concep,0,0.000000
190,1,1,backward,Biology_19,256,1.481556,17.499062,0.401800,0.917500,0.151345,0.993228,0.638279, Biology_19 is an article abou,0,0.000000
191,1,2,fast_forward,Mathematics_17,256,1.708541,17.600518,0.406358,0.917114,0.167008,0.993189,0.410867, Mathematics_17 is an article ,0,0.000000
192,1,4,follow_link,Mathematics_2,256,1.672873,17.538642,0.408004,0.917568,0.166721,0.993149,0.423816, Mathematics_2 is an article a,0,0.000000
